index,url,valid,domain,title,description,image,published,archive,content,quote,language,term,topic,feed,country
https://www.independent.co.uk/news/mayon-volcano-ap-philippines-manila-taal-volcano-b2354444.html,https://www.independent.co.uk/news/mayon-volcano-ap-philippines-manila-taal-volcano-b2354444.html,0,www.independent.co.uk,"Philippines evacuates people near Mayon Volcano, where more unrest indicates an eruption is coming",The Philippines is evacuating residents near Mayon Volcano as its increasing unrest indicated a violent eruption is possible in weeks or days,https://static.independent.co.uk/2023/06/08/09/Philippines_Mayon_Volcano_40438.jpg?quality=75&width=1200&auto=webp,2023-06-09T06:59:08Z,https://web.archive.org/web/20230610015159/https://www.independent.co.uk/news/mayon-volcano-ap-philippines-manila-taal-volcano-b2354444.html,"For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails
Sign up to our free breaking news emails
Philippine troops, police and rescue workers began f… [+2970 chars]",,en,volcano,Volcano,randomTerm,
https://www.dw.com/en/philippines-thousands-evacuated-around-mayon-volcano/a-65865110,https://www.dw.com/en/philippines-thousands-evacuated-around-mayon-volcano/a-65865110,0,www.dw.com,Philippines: Thousands evacuated around Mayon Volcano,Officials have raised the alert level due to various seismic events being recorded.,https://static.dw.com/image/65865002_6.jpg,2023-06-09T07:21:00Z,https://web.archive.org/web/20230609073805/https://www.dw.com/en/philippines-thousands-evacuated-around-mayon-volcano/a-65865110,"Authorities in the Philippines on Friday began evacuating around 10,000 people living near the Mayon Volcano after volcanic earthquakes and hundreds of rockfall events were detected.
Mount Mayon is … [+1823 chars]",,en,Volcano Philippines,Volcano,reliefWeb,Philippines
https://phys.org/news/2023-06-philippines-evacuates-people-mayon-volcano.html,https://phys.org/news/2023-06-philippines-evacuates-people-mayon-volcano.html,0,phys.org,"Philippines evacuates people near Mayon Volcano, where more unrest indicates eruption may be coming","Philippine troops, police and rescue workers began forcibly evacuating residents near Mayon Volcano on Friday as its increasing unrest indicated a violent eruption of one of the country's most active volcanoes is possible within weeks or days.",https://scx2.b-cdn.net/gfx/news/hires/2023/philippines-evacuates.jpg,2023-06-09T07:44:19Z,https://web.archive.org/web/20230609074910/https://phys.org/news/2023-06-philippines-evacuates-people-mayon-volcano.html,"Philippine troops, police and rescue workers began forcibly evacuating residents near Mayon Volcano on Friday as its increasing unrest indicated a violent eruption of one of the country's most active… [+3441 chars]",,en,Volcano Philippines,Volcano,reliefWeb,Philippines
https://newrepublic.com/article/173404/new-york-unlock-billions-climate-finance-foreign-debt,https://newrepublic.com/article/173404/new-york-unlock-billions-climate-finance-foreign-debt,0,newrepublic.com,How New York State Could Unlock Billions for Climate Finance,"When Cyclone Mocha swept through Bangladesh in May, some 250,000 people were left in need of food and shelter. Record-breaking flooding the year before affected over seven million, and heavy rains in 2020 submerged a quarter of the country and killed more tha…",https://images.newrepublic.com/f186d306edf413efbc295ad2caa2238c5fd163ee.jpeg?w=1109&h=577&crop=faces&fit=crop&fm=jpg,2023-06-09T14:10:00Z,https://web.archive.org/web/20230609142127/https://newrepublic.com/article/173404/new-york-unlock-billions-climate-finance-foreign-debt,"While the United States and other public creditorsmight accept making back less money to prevent more widespread suffering abroad, those funds can still be gobbled up by Wall Street. Because so many … [+1504 chars]",,en,heavy rain,Flash Flood,randomTerm,
https://deadline.com/2023/06/daliland-squaring-the-circle-hipgnosis-anton-corbijn-brian-cox-specialty-box-office-1235412904/,https://deadline.com/2023/06/daliland-squaring-the-circle-hipgnosis-anton-corbijn-brian-cox-specialty-box-office-1235412904/,0,deadline.com,"‘Dalíland’, Anton Corbijn’s ‘Squaring The Circle (The Story Of Hipgnosis)’ & Brian Cox In ‘Mending The Line’ As Smoke Clears In NYC – Specialty Preview","Two from Magnolia Pictures, the story of an iconic record album design firm back and a sighting of Brian Cox usher in a specialty weekend with smoke clearing over New York City. Acrid plumes from Canadian wildfires have smothered the key arthouse market over …",https://deadline.com/wp-content/uploads/2023/06/Daliland-Squaring-the-Circle-and-Mending-The-Line.jpg?w=1024,2023-06-09T18:04:03Z,https://web.archive.org/web/20230609182144/https://deadline.com/2023/06/daliland-squaring-the-circle-hipgnosis-anton-corbijn-brian-cox-specialty-box-office-1235412904/,"Two from Magnolia Pictures, the story of an iconic record album design firm back and a sighting of Brian Cox usher in a specialty weekend with smoke clearing over New York City. Acrid plumes from Can… [+4337 chars]",,en,Wild Fire,Wildfire,reliefWeb,
https://www.bbc.co.uk/news/world-us-canada-65864198,https://www.bbc.co.uk/news/world-us-canada-65864198,0,www.bbc.co.uk,Canadian province of Quebec sees progress in wildfire battle,Quebec has seen improvements in the last 48 hours but country's west coast warns fire challenges ahead.,https://static.files.bbci.co.uk/ws/simorgh-assets/public/news/images/metadata/poster-1024x576.png,2023-06-10T02:28:53Z,http://wayback.archive-it.org/all/20230610053926/https://www.bbc.co.uk/news/world-us-canada-65864198,"Quebec has made progress in its battle to fight wildfires that have contributed to the smoke that blanketed large parts of North America this week.
""We're really happy with the last 48 hours,"" said … [+3962 chars]",,en,Wild Fire,Wildfire,reliefWeb,
https://www.aljazeera.com/gallery/2023/6/10/philippines-evacuates-thousands-after-mayon-volcano-rumbles,https://www.aljazeera.com/gallery/2023/6/10/philippines-evacuates-thousands-after-mayon-volcano-rumbles,0,www.aljazeera.com,Philippines evacuates thousands after Mayon volcano rumbles,"More than 6,000 villagers forced to evacuate from near the Mayon volcano's crater in northeastern Albay province.",https://www.aljazeera.com/wp-content/uploads/2023/06/AP23161264557671-1686395981.jpg?resize=1920%2C1440,2023-06-10T12:28:16Z,https://web.archive.org/web/20230610125839/http://www.aljazeera.com/gallery/2023/6/10/philippines-evacuates-thousands-after-mayon-volcano-rumbles,"More than 6,000 villagers have been forced to leave rural communities within a six-kilometre (3.7-mile) radius of the Mayon volcanos crater in northeastern Albay province in the Philippines.
Officia… [+3504 chars]",,en,volcano,Volcano,randomTerm,
https://www.theguardian.com/environment/2023/jun/11/things-not-going-well-plan-to-return-cheetahs-to-india-under-fire-after-six-die-within-months,https://www.theguardian.com/environment/2023/jun/11/things-not-going-well-plan-to-return-cheetahs-to-india-under-fire-after-six-die-within-months,0,www.theguardian.com,‘Things not going well’: plan to return cheetahs to India under fire after six die within months,Project to reintroduce big cat to the wild set back by loss of adults and cubs at reserveA controversial attempt to reintroduce cheetahs to the wild has suffered a major setback after three adults and three cubs died over the past eight months.The deaths have…,https://i.guim.co.uk/img/media/0397e2a2028cbfe910cf4d81b29c3931d81ccbf2/0_3_5500_3299/master/5500.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdG8tZGVmYXVsdC5wbmc&enable=upscale&s=198271568d9ed1e6c9bf67f89241cdd7,2023-06-11T09:00:47Z,https://web.archive.org/web/20230611092206/https://www.theguardian.com/environment/2023/jun/11/things-not-going-well-plan-to-return-cheetahs-to-india-under-fire-after-six-die-within-months,"A controversial attempt to reintroduce cheetahs to the wild has suffered a major setback after three adults and three cubs died over the past eight months.
The deaths have led to criticisms of Proje… [+4105 chars]",,en,Wild Fire,Wildfire,reliefWeb,
https://phys.org/news/2023-06-thousands-evacuated-philippine-volcano-spews.html,https://phys.org/news/2023-06-thousands-evacuated-philippine-volcano-spews.html,0,phys.org,"Thousands evacuated as Philippine volcano spews ash, rocks",Thousands of people living near a Philippine volcano have taken shelter in evacuation centers as officials warned Sunday of health risks from ash and toxic gases spewing from the rumbling crater.,https://scx2.b-cdn.net/gfx/news/2023/filipinos-take-shelter.jpg,2023-06-11T11:00:12Z,https://web.archive.org/web/20230611114356/https://phys.org/news/2023-06-thousands-evacuated-philippine-volcano-spews.html,"Thousands of people living near a Philippine volcano have taken shelter in evacuation centers as officials warned Sunday of health risks from ash and toxic gases spewing from the rumbling crater.
Se… [+2687 chars]",,en,volcano,Volcano,randomTerm,
https://www.theguardian.com/world/2023/jun/12/mount-mayon-philippines-most-active-volcano-spews-lava-prompting-evacuation-of-thousands,https://www.theguardian.com/world/2023/jun/12/mount-mayon-philippines-most-active-volcano-spews-lava-prompting-evacuation-of-thousands,0,www.theguardian.com,Mount Mayon: Philippines’ most active volcano spews lava prompting evacuation of thousands,"Eruption began on Sunday and has forced more than 12,000 people to leave their homesThe Philippines’ most active volcano began spewing lava on Sunday, putting thousands of people on heightened alert for the possibility of a violent explosion that would force …",https://i.guim.co.uk/img/media/62a8a5d7acb40b84362c13ee51edc16166036c50/0_249_3957_2374/master/3957.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&enable=upscale&s=ed63946a04cfd66f790ece4fd4fe623c,2023-06-11T23:55:38Z,https://web.archive.org/web/20230612000146/https://www.theguardian.com/world/2023/jun/12/mount-mayon-philippines-most-active-volcano-spews-lava-prompting-evacuation-of-thousands,"The Philippines most active volcano began spewing lava on Sunday, putting thousands of people on heightened alert for the possibility of a violent explosion that would force them to suddenly evacuate… [+2666 chars]",,en,Volcano Philippines,Volcano,reliefWeb,Philippines
