index,module,topic,feed,term,created,added,language,ratio,location,latitude,longitude,age
'ae1a3fdb0b',extremes,Earthquake,usgsEarthquake,"Earthquake Izu Islands, Japan region",2023-06-25T01:12:00+00:00,2023-06-26T02:20:00+00:00,en,0.25,"Izu Islands, Japan region",29.9147,139.9913,0
'b6363a17ca',extremes,Earthquake,usgsEarthquake,Earthquake Tadine New Caledonia,2023-06-08T09:19:00+00:00,2023-06-26T02:20:00+00:00,en,0.475,New Caledonia,-22.3537,170.269,0
'b6bf5e6779',extremes,Tsunami,usgsEarthquake,Earthquake Adak Alaska,2023-06-13T16:16:00+00:00,2023-06-26T02:20:00+00:00,en,0.4416666666666666,Alaska,51.4427,-178.4426,0
'c1586cb414',extremes,Earthquake,usgsEarthquake,Earthquake Tobelo Indonesia,2023-06-19T21:16:00+00:00,2023-06-26T02:20:00+00:00,en,0.4333333333333333,Indonesia,2.0805,128.2998,0
'c6f1ed09fc',extremes,Earthquake,usgsEarthquake,Earthquake Neiafu Tonga,2023-05-27T00:11:00+00:00,2023-06-26T02:20:00+00:00,en,0.5,Tonga,-18.4836,-175.1849,0
'cce975821b',extremes,Earthquake,usgsEarthquake,Earthquake Puerto Ayora Ecuador,2023-05-31T10:55:00+00:00,2023-06-26T02:20:00+00:00,en,0.4583333333333333,Ecuador,1.4439,-90.6943,0
'd4615993af',extremes,Earthquake,usgsEarthquake,Earthquake Hihifo Tonga,2023-06-23T19:06:00+00:00,2023-06-26T02:20:00+00:00,en,0.4666666666666666,Tonga,-15.2313,-173.0091,0
'd6cfe039d8',extremes,Earthquake,usgsEarthquake,Earthquake Gizo Solomon Islands,2023-06-12T06:11:00+00:00,2023-06-26T02:20:00+00:00,en,0.4166666666666667,Solomon Islands,-8.5689,157.261,0
'd6ea147b38',extremes,Earthquake,usgsEarthquake,Earthquake Karluk Alaska,2023-06-18T09:14:00+00:00,2023-06-26T02:20:00+00:00,en,0.4166666666666667,Alaska,58.1016,-154.6028,0
'd86ab8c3fd',extremes,Earthquake,usgsEarthquake,Earthquake Java Indonesia,2023-06-07T17:04:00+00:00,2023-06-26T02:20:00+00:00,en,0.4666666666666666,Indonesia,-9.3013,110.678,0
'db8346e73b',extremes,Earthquake,usgsEarthquake,Earthquake La Playa Mexico,2023-06-19T08:55:00+00:00,2023-06-26T02:20:00+00:00,en,0.4333333333333333,Mexico,23.1208,-108.4155,0
'ddbcdfcab2',extremes,Earthquake,usgsEarthquake,Earthquake Merizo Village Guam,2023-06-02T05:25:00+00:00,2023-06-26T02:20:00+00:00,en,0.425,Guam,12.4233,144.7323,0
'ddfd543302',extremes,Tsunami,usgsEarthquake,Earthquake ‘Ohonua Tonga,2023-06-16T19:10:00+00:00,2023-06-26T02:20:00+00:00,en,0.5166666666666667,Tonga,-23.478,-175.5092,0
'e3d2df8e8f',extremes,Earthquake,usgsEarthquake,Earthquake La Rivera Mexico,2023-06-18T20:30:00+00:00,2023-06-26T02:20:00+00:00,en,0.5333333333333333,Mexico,23.2074,-108.6696,0
'e5e0498fcb',extremes,Earthquake,usgsEarthquake,Earthquake Adak Alaska,2023-06-13T16:16:00+00:00,2023-06-26T02:20:00+00:00,en,0.4416666666666666,Alaska,51.4427,-178.4426,0
'e66e1c8ae7',extremes,Tsunami,usgsEarthquake,Earthquake La Rivera Mexico,2023-06-18T20:30:00+00:00,2023-06-26T02:20:00+00:00,en,0.5333333333333333,Mexico,23.2074,-108.6696,0
'f17e365211',extremes,Earthquake,usgsEarthquake,Earthquake Tarapaca Chile,2023-05-30T16:51:00+00:00,2023-06-26T02:20:00+00:00,en,0.4583333333333333,Chile,-20.7038,-70.6344,0
'6c6aa951d5',extremes,Storm,randomTerm,blowing snow,2023-06-24T22:39:00+00:00,2023-06-25T22:39:00+00:00,en,0.35,,,,0
