index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'4189c0a405',extremes,Heat Wave,#c40202,wmo,Heat Wave China,2024-03-05T02:38:00+00:00,China,0.7444839338157868,0.0,2.0,en,EAS,Asia
'd7de784867',extremes,Flood,#030ba1,wmo,Flood Philippines,2024-01-29T02:38:00+00:00,Philippines,0.7444827029783564,0.0,2.0,en,SEA,Asia
'f371553626',extremes,Wildfire,#d60d2b,esawfa,Bushfire Zambia,2024-02-07T02:38:00+00:00,Zambia,0.7444412067325752,0.0,2.0,en,ESAF,Africa
'0a4c252aba',extremes,Flood,#030ba1,wmo,Flooding Slovakia,2024-02-27T02:38:00+00:00,Slovakia,0.7444161752324896,0.0,2.0,en,WCE,Europe
'632d096d56',extremes,Storm,#b3b2b1,wmo,Storm Postville Makkovik,2024-02-17T02:39:00+00:00,Canada,0.744393460430884,0.0,2.0,en,NEN,North-America
'9147a3be87',extremes,Storm,#b3b2b1,wmo,Storm MOSTAGANEM,2024-02-12T02:38:00+00:00,Algeria,0.7443861070523657,0.0,2.0,en,SAH,Africa
'ee5d47f264',extremes,Tropical Cyclone,#4f4f4f,eonet,Tropical Cyclone Djoungou,2024-02-17T02:38:00+00:00,,0.7443791178884567,0.0,2.0,en,SIO,Indian Ocean
'67a6f39105',extremes,Flood,#030ba1,wmo,Flashflood Washington RI,2024-03-04T03:13:00+00:00,United States,0.7443719586690297,0.0,2.0,en,CNA,North-America
'ac2bb0593b',extremes,Flood,#030ba1,wmo,Flood Leake MS,2024-02-13T02:38:00+00:00,United States,0.7443488832780326,0.0,2.0,en,CNA,North-America
'3dfbbe5f0e',extremes,Tropical Cyclone,#4f4f4f,aidr,2018 Cyclone QLD Tropical cyclone Nora,2024-02-29T02:40:00+00:00,Australia,0.7443481823639007,0.0,2.0,en,NAU,Oceania
'0a565be2e3',extremes,Snow&Ice,#d60d2b,wmo,Avalanche Slovenia North West,2024-02-11T02:38:00+00:00,Slovenia,0.7443384990460038,0.0,2.0,en,WCE,Europe
'515c954066',extremes,Flood,#030ba1,wmo,Flood Troup GA,2024-03-10T02:40:00+00:00,United States,0.7442821883519661,0.0,2.0,en,CNA,North-America
'cfe65af5f0',extremes,Storm,#b3b2b1,wmo,Storm Jugoistocna Srbija,2024-01-26T02:39:00+00:00,Serbia,0.7442555722440202,0.0,2.0,en,MED,Europe
'96efd45291',extremes,Precipitation,#d60d2b,wmo,Precipitation Mount Taranaki,2024-03-04T03:13:00+00:00,New Zealand,0.7442290488055449,0.0,2.0,en,NZ,Oceania
'0a4ac833e4',extremes,Storm,#b3b2b1,wmo,Storm EL BAYADH,2024-02-23T02:38:00+00:00,Algeria,0.7442120252563167,0.0,2.0,en,SAH,Africa
'34fd30e809',extremes,Earthquake,#870007,usgs,Earthquake Calama,2024-01-25T02:46:00+00:00,Chile,0.7442062654901433,0.0,2.0,en,SWS,South-America
'7a485121a0',extremes,Snow&Ice,#d60d2b,wmo,Freezing Mogilev Region,2024-03-08T07:57:00+00:00,Belarus,0.7441790708961855,0.0,2.0,en,WCE,Europe
'b0ac59b481',extremes,Flood,#030ba1,wmo,Flood Dooly GA,2024-03-10T02:40:00+00:00,United States,0.7441501152840939,0.0,2.0,en,CNA,North-America
'c91e7994ee',extremes,Wildfire,#d60d2b,wmo,Wildfire Guam,2024-03-10T02:40:00+00:00,United States,0.7441017042572404,0.0,2.0,en,CNA,North-America
'f7d51cb703',extremes,Storm,#b3b2b1,wmo,Storm EL MGHAIR,2024-02-29T02:40:00+00:00,Algeria,0.7440866862464985,0.0,2.0,en,SAH,Africa
'4ee4db1f04',extremes,Flood,#030ba1,wmo,Flood Banská Štiavnica,2024-02-24T02:38:00+00:00,Slovakia,0.7440743331657291,0.0,2.0,en,WCE,Europe
'039dd25b1b',extremes,Flood,#030ba1,wmo,Flood Bossier LA Webster LA,2024-02-05T02:41:00+00:00,United States,0.7440409249808466,0.0,2.0,en,CNA,North-America
'fefbc41dfe',extremes,Fog,#d60d2b,wmo,Fog Kurgan Region,2024-03-03T02:38:00+00:00,Russian Federation,0.7439914936132723,0.0,2.0,en,ESB,Europe
'2931ec0999',extremes,Snow&Ice,#d60d2b,wmo,Ice France,2024-02-09T02:38:00+00:00,France,0.7439765586392953,0.0,2.0,en,WCE,Europe
'c3c2f8c0e0',extremes,Earthquake,#870007,usgs,Earthquake Reykjanes Ridge,2024-03-01T02:40:00+00:00,,0.7439408219097046,0.0,2.0,en,NAO,Atlantic Ocean
'2aa925fd24',extremes,Flood,#030ba1,wmo,Flood Zvolen,2024-02-24T02:38:00+00:00,Slovakia,0.7438811729555518,0.0,2.0,en,WCE,Europe
'5966f3dffc',extremes,Storm,#b3b2b1,wmo,Storm Surge Latvia,2024-02-23T02:38:00+00:00,Latvia,0.7438410541084184,0.0,2.0,en,WCE,Europe
'ab74911cfa',extremes,Storm,#b3b2b1,wmo,Storm Latvia,2024-02-17T02:39:00+00:00,Latvia,0.7438026278245135,0.0,2.0,en,WCE,Europe
'31957ad100',extremes,Flood,#030ba1,wmo,Flashflood Lower River Upperudsälven,2024-03-02T02:38:00+00:00,Sweden,0.7437762852385601,0.0,2.0,en,NEU,Europe
'd0b35e430a',extremes,Flood,#030ba1,wmo,Flood River Finspångsån,2024-01-30T02:38:00+00:00,Sweden,0.7437627638895516,0.0,2.0,en,NEU,Europe
'2df7af1d37',extremes,Flood,#030ba1,wmo,Flooding Young TX,2024-03-08T02:38:00+00:00,United States,0.7436874242294116,0.0,2.0,en,CNA,North-America
'968c2abffb',extremes,Flood,#030ba1,wmo,Flooding New London CT Washington RI,2024-03-10T02:40:00+00:00,United States,0.7436608836589583,0.0,2.0,en,CNA,North-America
'c05ad83d60',extremes,Flood,#030ba1,wmo,Flashflood Hunterdon NJ Somerset NJ,2024-03-07T02:38:00+00:00,United States,0.7436591555588598,0.0,2.0,en,CNA,North-America
'500fc99e97',extremes,Earthquake,#870007,usgs,Earthquake Aykol,2024-01-23T02:45:00+00:00,China,0.7436474893428003,0.0,2.0,en,ECA,Asia
'f7c4918973',extremes,Snow&Ice,#d60d2b,meteo,Snow or Ice France,2024-02-08T02:37:00+00:00,France,0.7436240841828525,0.0,2.0,en,WCE,Europe
'accda3e564',extremes,Storm,#b3b2b1,wmo,Storm Surge TLEMCEN,2024-02-09T02:38:00+00:00,Algeria,0.7436106595492274,0.0,2.0,en,SAH,Africa
'5055403732',extremes,Fog,#d60d2b,wmo,Fog Fyn,2024-03-09T02:38:00+00:00,Denmark,0.7436038393433192,0.0,2.0,en,NEU,Europe
'2e4917a730',extremes,Precipitation,#d60d2b,wmo,Rain Southland south of Lumsden and Gore,2024-02-06T02:38:00+00:00,New Zealand,0.7435965778836207,0.0,2.0,en,NZ,Oceania
'0d3031a304',extremes,Flood,#030ba1,wmo,Flood Erath TX,2024-03-08T02:38:00+00:00,United States,0.7435874404168639,0.0,2.0,en,CNA,North-America
'be2b651799',extremes,Flood,#030ba1,wmo,Flood Lowndes MS Monroe MS,2024-02-13T02:38:00+00:00,United States,0.7435630829808266,0.0,2.0,en,CNA,North-America
'd509da2e7d',extremes,Fog,#d60d2b,wmo,Fog Corson,2024-01-26T02:39:00+00:00,United States,0.74355930264553,0.0,2.0,en,CNA,North-America
'ea882f1c24',extremes,Flood,#030ba1,relief,Torrential Rain Sri Lanka,2024-01-21T02:46:00+00:00,Sri Lanka,0.7435548866699447,0.0,2.0,en,BOB,Asia
'cff0a88351',extremes,Earthquake,#870007,usgs,Earthquake Ecuador,2024-02-16T02:37:00+00:00,Ecuador,0.7435429292991966,0.0,2.0,en,NWS,South-America
'ba8fd53a17',extremes,Earthquake,#870007,usgs,Earthquake Carlsberg Ridge,2024-01-28T02:37:00+00:00,,0.7435312782190077,0.0,2.0,en,EIO,Indian Ocean
